ID,.pred_class
1,0.96
2,0.996
3,1
4,1
5,1
6,1
7,0.981
8,0.998
9,0.818
10,0.993
11,0.811
12,0.997
13,0.861
14,0.966
15,0.956
16,0.979
17,0.924
18,0.995
19,0.999
20,0.997
21,1
22,0.995
23,0.954
24,0.989
25,0.998
26,0.955
27,0.692
28,0.961
29,0.96
30,0.891
31,0.993
32,0.994
33,0.993
34,0.998
35,0.986
36,1
37,0.989
38,0.96
39,0.922
40,0.928
41,0.972
42,0.948
43,0.999
44,0.999
45,0.998
46,0.99
47,0.998
48,0.997
49,1
50,0.931
51,0.935
52,0.998
53,0.992
54,1
55,0.915
56,0.991
57,0.995
58,0.998
59,0.964
60,0.924
61,1
62,0.982
63,0.987
64,0.999
65,0.987
66,0.964
67,0.993
68,0.995
69,0.924
70,0.625
71,0.96
72,0.979
73,1
74,1
75,0.997
76,0.998
77,0.957
78,0.944
79,0.53
80,0.999
81,0.887
82,0.997
83,0.903
84,0.988
85,1
86,0.976
87,0.995
88,1
89,0.998
90,0.671
91,0.988
92,0.524
93,0.992
94,0.973
95,0.968
96,0.983
97,0.154
98,0.774
99,0.999
100,0.992
101,0.963
102,0.926
103,1
104,0.992
105,0.429
106,0.989
107,0.996
108,0.944
109,1
110,0.893
111,0.639
112,0.994
113,0.998
114,0.915
115,0.997
116,0.998
117,0.999
118,0.981
119,0.982
120,0.991
121,0.954
122,0.996
123,0.99
124,0.981
125,1
126,0.937
127,0.955
128,0.941
129,0.966
130,0.885
131,1
132,0.995
133,0.847
134,0.99
135,0.993
136,0.97
137,0.998
138,0.96
139,0.679
140,0.988
141,0.989
142,0.783
143,0.999
144,0.971
145,0.999
146,0.672
147,0.986
148,0.943
149,1
150,0.995
151,0.995
152,0.623
153,0.997
154,1
155,0.998
156,0.993
157,0.531
158,0.978
159,0.69
160,0.996
161,0.807
162,0.996
163,0.953
164,0.973
165,1
166,0.958
167,0.988
168,0.786
169,0.979
170,0.996
171,0.979
172,0.948
173,0.999
174,0.989
175,0.959
176,0.986
177,0.951
178,1
179,0.995
180,0.995
181,0.871
182,0.967
183,0.827
184,0.746
185,0.999
186,0.995
187,0.997
188,1
189,0.248
190,0.996
191,0.997
192,0.996
193,1
194,0.996
195,0.997
196,0.999
197,0.992
198,0.998
199,0.999
200,0.293
201,0.978
202,0.642
203,0.977
204,0.959
205,0.89
206,0.99
207,0.995
208,0.995
209,0.091
210,0.185
211,0.969
212,0.98
213,1
214,0.996
215,0.997
216,0.961
217,0.997
218,0.986
219,0.999
220,0.995
221,0.526
222,1
223,0.983
224,0.987
225,0.983
226,0.542
227,0.928
228,0.995
229,0.985
230,0.995
231,0.995
232,0.775
233,0.9
234,0.061
235,0.997
236,0.91
237,1
238,0.906
239,0.931
240,0.999
241,0.999
242,0.703
243,0.001
244,0.989
245,0.993
246,0.978
247,0.975
248,0.979
249,0.978
250,0.968
251,0.958
252,0.353
253,0.961
254,0.994
255,0.998
256,0.968
257,0.991
258,0.73
259,0.997
260,1
261,0.984
262,0.968
263,0.999
264,0.999
265,0.988
266,0.947
267,0.998
268,1
269,0.993
270,1
271,0.997
272,0.806
273,1
274,0.12
275,1
276,0.955
277,0.975
278,0.995
279,0.962
280,0.988
281,1
282,0.994
283,0.922
284,0.961
285,0.988
286,0.953
287,0.984
288,0.996
289,0.999
290,0.998
291,0.544
292,0.872
293,0.995
294,0.926
295,0.996
296,0.073
297,0.308
298,1
299,0.85
300,0.977
301,0.931
302,1
303,0.804
304,0.956
305,0.99
306,0.997
307,1
308,1
309,0.991
310,0.99
311,0.993
312,0.969
313,1
314,0.977
315,0.966
316,0.996
317,0.906
318,0.991
319,0.999
320,1
321,0.973
322,0.012
323,0.999
324,0.959
325,0.933
326,0.248
327,0.97
328,0.999
329,0.906
330,0.966
331,0.999
332,1
333,0.967
334,0.964
335,0.992
336,0.952
337,0.999
338,1
339,1
340,0.922
341,0.99
342,0.99
343,0.897
344,1
345,0.886
346,0.806
347,0.997
348,0.974
349,0.988
350,0.708
351,0.896
352,0.997
353,0.985
354,0.491
355,0.991
356,0.982
357,0.98
358,0.948
359,0.99
360,0.741
361,0.978
362,0.987
363,1
364,0.921
365,0.999
366,0.977
367,0.974
368,0.991
369,0.997
370,0.998
371,1
372,0.841
373,0.862
374,0.098
375,0.987
376,0.985
377,0.472
378,0.941
379,0.998
380,0.873
381,0.607
382,1
383,0.998
384,0.75
385,0.728
386,1
387,0.82
388,0.912
389,0.999
390,0.998
391,0.991
392,0.966
393,0.996
394,1
395,0.971
396,0.996
397,0.994
398,0.981
399,0.99
400,0.992
401,0.971
402,0.999
403,0.998
404,0.83
405,0.997
406,0.92
407,0.977
408,0.988
409,0.998
410,0.997
411,0.999
412,0.74
413,0.994
414,0.965
415,0.983
416,0.964
417,1
418,0.982
419,0.889
420,0.998
421,0.996
422,0.994
423,0.954
424,0.813
425,0.996
426,0.999
427,0.98
428,0.998
429,0.807
430,0.999
431,1
432,0.84
433,0.987
434,0.997
435,0.956
436,0.999
437,0.891
438,0.001
439,0.82
440,0.001
441,0.929
442,0.995
443,0.932
444,1
445,0.992
446,1
447,0.462
448,0.997
449,1
450,0.988
451,0.952
452,1
453,1
454,0.502
455,0.888
456,0.998
457,0.996
458,0.849
459,0.999
460,0.02
461,0.692
462,1
463,0.995
464,0.994
465,0.999
466,0.999
467,0.13
468,0.812
469,0.999
470,0.999
471,1
472,0.968
473,1
474,0.955
475,0.997
476,0.955
477,0.996
478,0.997
479,0.962
480,0.995
481,0.943
482,0.968
483,0.999
484,0.999
485,0.999
486,0.998
487,0.981
488,1
489,0.999
490,0.971
491,0.999
