Id,Action
1,0.863
2,0.996
3,1
4,0.998
5,0.996
6,1
7,0.97
8,0.996
9,0.841
10,0.997
11,0.882
12,0.997
13,0.879
14,0.949
15,0.984
16,0.961
17,0.901
18,0.988
19,0.999
20,0.996
21,1
22,0.979
23,0.967
24,0.991
25,1
26,0.951
27,0.774
28,0.964
29,0.967
30,0.879
31,0.998
32,0.977
33,0.973
34,0.995
35,0.99
36,0.999
37,0.972
38,0.942
39,0.955
40,0.878
41,0.944
42,0.97
43,1
44,0.999
45,0.999
46,0.994
47,0.996
48,0.997
49,1
50,0.883
51,0.922
52,0.998
53,0.99
54,0.999
55,0.887
56,0.994
57,0.987
58,0.996
59,0.947
60,0.814
61,1
62,0.969
63,0.99
64,1
65,0.97
66,0.968
67,0.97
68,0.998
69,0.957
70,0.572
71,0.92
72,0.992
73,0.998
74,0.998
75,0.994
76,0.997
77,0.961
78,0.858
79,0.371
80,0.988
81,0.881
82,0.996
83,0.891
84,0.994
85,1
86,0.956
87,0.997
88,1
89,0.999
90,0.578
91,0.987
92,0.509
93,0.992
94,0.933
95,0.959
96,0.976
97,0.124
98,0.859
99,0.993
100,0.996
101,0.922
102,0.891
103,1
104,0.997
105,0.423
106,0.988
107,0.997
108,0.898
109,1
110,0.903
111,0.479
112,0.991
113,0.998
114,0.878
115,0.998
116,0.998
117,0.995
118,0.99
119,0.99
120,0.992
121,0.952
122,0.992
123,0.994
124,0.966
125,0.996
126,0.939
127,0.953
128,0.911
129,0.98
130,0.813
131,0.998
132,0.994
133,0.809
134,0.99
135,0.988
136,0.979
137,0.994
138,0.971
139,0.759
140,0.977
141,0.973
142,0.779
143,1
144,0.968
145,0.999
146,0.746
147,0.988
148,0.954
149,0.999
150,0.996
151,0.991
152,0.593
153,0.995
154,0.999
155,0.995
156,0.971
157,0.639
158,0.984
159,0.653
160,0.994
161,0.782
162,0.994
163,0.952
164,0.925
165,1
166,0.945
167,0.975
168,0.848
169,0.978
170,0.999
171,0.988
172,0.962
173,1
174,0.975
175,0.953
176,0.984
177,0.953
178,0.998
179,0.993
180,0.996
181,0.887
182,0.917
183,0.778
184,0.696
185,0.999
186,0.987
187,0.997
188,0.995
189,0.19
190,0.99
191,0.998
192,0.999
193,1
194,0.98
195,0.999
196,0.999
197,0.994
198,0.99
199,0.998
200,0.224
201,0.913
202,0.679
203,0.994
204,0.98
205,0.869
206,0.97
207,0.994
208,0.994
209,0.087
210,0.269
211,0.971
212,0.982
213,1
214,0.992
215,0.986
216,0.982
217,0.998
218,0.974
219,0.998
220,0.994
221,0.47
222,0.997
223,0.963
224,0.973
225,0.98
226,0.42
227,0.901
228,0.997
229,0.986
230,0.994
231,0.965
232,0.743
233,0.949
234,0.021
235,0.999
236,0.867
237,1
238,0.935
239,0.95
240,0.996
241,1
242,0.559
243,0.003
244,0.994
245,0.995
246,0.974
247,0.98
248,0.936
249,0.934
250,0.995
251,0.942
252,0.317
253,0.914
254,0.992
255,0.996
256,0.971
257,0.994
258,0.738
259,0.998
260,1
261,0.971
262,0.97
263,0.998
264,0.999
265,0.984
266,0.965
267,0.997
268,0.997
269,0.993
270,1
271,0.995
272,0.84
273,1
274,0.076
275,1
276,0.924
277,0.961
278,0.993
279,0.969
280,0.97
281,1
282,0.953
283,0.938
284,0.94
285,0.981
286,0.948
287,0.979
288,0.997
289,0.997
290,0.998
291,0.565
292,0.719
293,0.981
294,0.914
295,0.998
296,0.032
297,0.221
298,1
299,0.75
300,0.974
301,0.86
302,1
303,0.769
304,0.871
305,0.985
306,0.999
307,1
308,0.999
309,0.992
310,0.972
311,0.991
312,0.977
313,1
314,0.981
315,0.988
316,0.993
317,0.895
318,0.996
319,0.982
320,1
321,0.986
322,0.016
323,0.997
324,0.977
325,0.956
326,0.442
327,0.978
328,0.98
329,0.928
330,0.961
331,0.999
332,1
333,0.972
334,0.971
335,0.998
336,0.957
337,0.995
338,1
339,0.999
340,0.9
341,0.969
342,0.99
343,0.878
344,0.999
345,0.906
346,0.824
347,0.996
348,0.974
349,0.97
350,0.74
351,0.929
352,0.999
353,0.992
354,0.295
355,0.987
356,0.991
357,0.939
358,0.974
359,0.994
360,0.859
361,0.975
362,0.975
363,1
364,0.914
365,0.999
366,0.972
367,0.972
368,0.995
369,0.986
370,0.999
371,1
372,0.827
373,0.944
374,0.109
375,0.996
376,0.968
377,0.331
378,0.939
379,0.999
380,0.757
381,0.51
382,0.997
383,0.993
384,0.718
385,0.708
386,1
387,0.655
388,0.864
389,0.994
390,0.999
391,0.986
392,0.929
393,0.991
394,0.999
395,0.933
396,0.997
397,0.993
398,0.979
399,0.985
400,0.99
401,0.985
402,0.985
403,0.991
404,0.791
405,0.993
406,0.872
407,0.959
408,0.991
409,0.999
410,1
411,0.999
412,0.799
413,0.988
414,0.954
415,0.987
416,0.954
417,1
418,0.986
419,0.899
420,0.997
421,0.997
422,0.99
423,0.925
424,0.801
425,0.995
426,0.998
427,0.968
428,0.986
429,0.853
430,1
431,1
432,0.808
433,0.973
434,0.987
435,0.96
436,0.998
437,0.905
438,0.003
439,0.826
440,0.001
441,0.952
442,0.969
443,0.935
444,0.999
445,0.967
446,1
447,0.545
448,1
449,1
450,0.982
451,0.903
452,1
453,0.995
454,0.538
455,0.856
456,0.997
457,0.991
458,0.851
459,0.999
460,0.127
461,0.559
462,1
463,0.995
464,0.988
465,1
466,0.999
467,0.081
468,0.818
469,0.992
470,1
471,0.997
472,0.969
473,1
474,0.98
475,0.991
476,0.956
477,0.999
478,0.991
479,0.96
480,0.993
481,0.952
482,0.99
483,0.999
484,0.997
485,0.998
486,0.999
487,0.976
488,0.993
489,1
490,0.983
491,0.997
492,0.997
493,0.833
494,1
495,0.998
496,0.999
497,0.995
498,0.98
499,0.951
500,0.986
501,0.995
502,0.603
503,0.997
504,0.999
505,0.844
506,0.992
507,0.991
508,0.986
509,0.983
510,0.05
511,0.993
512,0.984
513,0.991
514,0.726
515,0.998
516,0.993
517,0.987
518,0.971
519,0.979
520,0.473
521,1
522,0.894
523,0.994
524,0.061
525,0.994
526,0.442
527,0.9
528,0.997
529,0.876
530,0.967
531,0.982
532,0.98
533,0.931
534,0.971
535,0.989
536,1
537,0.978
538,0.952
539,0.959
540,0.996
541,0.981
542,0.991
543,0.519
544,0.932
545,0.713
546,0.998
547,0.025
548,0.989
549,0.963
550,0.997
551,0.996
552,0.888
553,0.991
554,0.811
555,0.985
556,0.994
557,1
558,0.781
559,0.995
560,0.997
561,0.646
562,0.966
563,0.98
564,0.982
565,0.974
566,0.753
567,0.924
568,0.88
569,1
570,0.983
571,0.514
572,0.987
573,0.734
574,0.863
575,0.998
576,0.999
577,0.936
578,0.961
579,0.875
580,0.906
581,1
582,0.922
583,0.998
584,0.988
585,0.995
586,0.757
587,1
588,0.914
589,0.968
590,0.991
591,1
592,0.991
593,0.807
594,0.957
595,1
596,0.971
597,0.993
598,0.991
599,0.858
600,0.978
601,0.958
602,0.998
603,1
604,0.933
605,0.994
606,0.986
607,0.986
608,0.876
609,0.897
610,0.934
611,0.998
612,0.844
613,0.847
614,0.07
615,1
616,0.553
617,0.99
618,0.853
619,1
620,0.887
621,0.95
622,0.976
623,0.909
624,0.48
625,0.956
626,0.998
627,0.998
628,0.994
629,0.965
630,0.999
631,0.99
632,0.973
633,0.999
634,0.998
635,0.893
636,0.992
637,0.943
638,0.95
639,0.909
640,0.998
641,0.994
642,0.985
643,0.996
644,0.946
645,0.993
646,0.658
647,0.887
648,0.923
649,0.971
650,0.967
651,0.927
652,0.987
653,0.584
654,0.975
655,0.839
656,0.997
657,0.974
658,0.987
659,0.89
660,0.997
661,0.791
662,0.894
663,0.994
664,0.988
665,0.969
666,0.347
667,0.747
668,1
669,0.882
670,0.501
671,0.847
672,0.924
673,0.415
674,0.987
675,0.884
676,0.901
677,0.606
678,1
679,0.984
680,0.819
681,0.405
682,0.54
683,0.997
684,0.955
685,0.965
686,0.952
687,0.987
688,0.997
689,0.991
690,0.995
691,0.885
692,0.966
693,0.648
694,0.992
695,0.998
696,0.939
697,0.881
698,0.992
699,0.948
700,0.991
701,0.92
702,0.999
703,0.986
704,0.7
705,0.961
706,0.971
707,0.769
708,1
709,0.947
710,0.997
711,0.477
712,0.999
713,1
714,0.998
715,0.983
716,0.978
717,0.942
718,0.962
719,0.973
720,0.963
721,0.979
722,0.991
723,0.993
724,0.958
725,0.998
726,0.997
727,0.965
728,1
729,0.988
730,0.928
731,0.853
732,0.997
733,0.969
734,0.994
735,0.937
736,0.622
737,0.998
738,0.99
739,1
740,0.996
741,0.999
742,0.855
743,0.985
744,0.978
745,1
746,0.999
747,0.997
748,0.991
749,0.997
750,0.987
751,0.974
752,0.994
753,0.999
754,0.996
755,0.995
756,0.724
757,0.974
758,0.995
759,0.987
760,1
761,0.972
762,0.987
763,0.845
764,0.996
765,0.976
766,0.996
767,0.753
768,0.998
769,0.941
770,0.987
771,0.993
772,0.995
773,0.987
774,0.957
775,1
776,0.373
777,0.999
778,0.965
779,0.947
780,0.997
781,0.909
782,0.999
783,0.985
784,1
785,0.906
786,0.994
787,0.999
788,0.987
789,0.99
790,0.823
791,0.957
792,0.996
793,0.964
794,0.963
795,0.981
796,0.958
797,0.98
798,0.981
799,0.891
800,0.995
801,0.992
802,0.999
803,0.99
804,0.93
805,0.998
806,1
807,0.699
808,0.896
809,0.91
810,0.998
811,0.925
812,0.185
813,0.996
814,0.742
815,0.254
816,1
817,0.993
818,0.978
819,0.998
820,0.997
821,0.792
822,0.913
823,0.997
824,0.995
825,0.985
826,0.862
827,0.997
828,0.956
829,0.954
830,0.999
831,0.89
832,0.884
833,0.926
834,0.968
835,0.99
836,0.98
837,0.73
838,0.983
839,0.945
840,0.511
841,0.991
842,0.999
843,0.998
844,0.996
845,0.997
846,0.999
847,0.999
848,0.998
849,1
850,0.497
851,0.997
852,0.989
853,0.994
854,0.422
855,0.967
856,0.997
857,0.974
858,0.844
859,0.998
860,0.998
861,1
862,0.943
863,0.997
864,0.815
865,0.825
866,0.973
867,0.993
868,0.987
869,0.998
870,0.987
871,0.97
872,0.898
873,0.975
874,0.988
875,0.998
876,0.994
877,0.947
878,0.949
879,0.991
880,0.985
881,0.924
882,0.928
883,0.999
884,0.765
885,0.979
886,0.971
887,1
888,0.999
889,0.996
890,0.983
891,0.989
892,0.723
893,0.59
894,0.996
895,0.995
896,0.987
897,0.426
898,0.907
899,0.976
900,1
901,0.994
902,0.92
903,0.99
904,0.997
905,0.991
906,0.964
907,0.995
908,1
909,0.899
910,0.965
911,0.921
912,0.975
913,1
914,0.993
915,0.976
916,0.989
917,1
918,0.992
919,0.999
920,0.999
921,0.988
922,1
923,0.942
924,0.992
925,0.633
926,1
927,0.994
928,0.977
929,0.983
930,0.998
931,0.938
932,0.985
933,0.895
934,0.917
935,0.995
936,0.757
937,0.993
938,0.972
939,0.981
940,0.998
941,0.977
942,0.946
943,0.084
944,0.998
945,0.894
946,0.82
947,0.963
948,0.981
949,0.965
950,0.999
951,1
952,0.832
953,0.988
954,0.995
955,0.988
956,0.276
957,0.933
958,0.993
959,0.428
960,0.681
961,0.781
962,0.991
963,0.999
964,0.998
965,0.868
966,0.978
967,0.978
968,0.969
969,0.999
970,0.982
971,0.973
972,0.994
973,0.953
974,0.996
975,0.998
976,0.992
977,0.957
978,0.934
979,0.984
980,0.369
981,1
982,0.998
983,1
984,0.24
985,0.958
986,0.989
987,0.999
988,1
989,0.748
990,0.015
991,0.002
992,0.954
